,movie_name,year,time_in_min,genres,rating,votes,grosses
268,Finding Nemo,2003,100 min,"
Animation, Adventure, Comedy            ",8.1,"907,592",$380.84M
269,Roma,2018,135 min,"
Drama            ",7.7,"126,283",-
270,Argo,2012,120 min,"
Biography, Drama, Thriller            ",7.7,"553,117",$136.03M
271,Amélie,2001,122 min,"
Comedy, Romance            ",8.3,"676,516",$33.23M
272,X: First Class,2011,131 min,"
Action, Adventure, Sci-Fi            ",7.7,"627,887",$146.41M
273,Scent of a Woman,1992,156 min,"
Drama            ",8.0,"244,490",$63.90M
274,The Exorcist,1973,122 min,"
Horror            ",8.0,"347,515",$232.91M
275,Die Hard,1988,132 min,"
Action, Thriller            ",8.2,"752,555",$83.01M
276,WALL·E,2008,98 min,"
Animation, Adventure, Family            ",8.4,"951,246",$223.81M
277,Magnolia,1999,188 min,"
Drama            ",8.0,"279,000",$22.46M
278,Indiana Jones and the Temple of Doom,1984,118 min,"
Action, Adventure            ",7.6,"425,772",$179.87M
279,The Curious Case of Benjamin Button,2008,166 min,"
Drama, Fantasy, Romance            ",7.8,"560,996",$127.51M
280,Rocky,1976,120 min,"
Drama, Sport            ",8.1,"494,089",$117.24M
281,The Thing,1982,109 min,"
Horror, Mystery, Sci-Fi            ",8.1,"349,789",$13.78M
282,The Great Escape,1963,172 min,"
Adventure, Drama, History            ",8.2,"213,803",$12.10M
283,Rear Window,1954,112 min,"
Mystery, Thriller            ",8.4,"419,711",$36.76M
284,The Pursuit of Happyness,2006,117 min,"
Biography, Drama            ",8.0,"423,994",$163.57M
285,Kill Bill: Vol. 2,2004,137 min,"
Action, Crime, Thriller            ",8.0,"651,282",$66.21M
286,Crash,2004,112 min,"
Crime, Drama, Thriller            ",7.8,"409,479",$54.58M
287,Casablanca,1942,102 min,"
Drama, Romance, War            ",8.5,"497,211",$1.02M
